"species","pop","patch","GSD","GAD","ASD"
"D","D6","1",7.46,10.09,5.07
"D","D6","1",7.07,9.79,8.35
"D","D6","1",7.41,10.56,6.29
"D","D6","1",6.26,9.7,8.58
"D","D6","2",6.17,8.89,6.51
"D","D6","2",4.89,8.07,6.59
"T","T4","14",15.49,11.31,2.4
"D","D2","1",6.16,10.02,14.4
"D","D2","1",7.22,11.04,10.81
"T","T4","5",13.5,12.04,6.6
"T","T4","5",10.83,10.89,3.61
"T","T4","5",12.55,12.91,4.08
"T","T4","5",12.38,11.64,1.95
"T","T4","5",13.62,12.03,4.42
"T","T4","5",13.97,11.43,0
"S3","S30","4",2.85,2.54,3.52
"S3","S30","4",3.38,3.35,2.4
"S3","S30","4",3.06,2.7,2.39
"S3","S30","4",3.08,2.86,2.93
"T","T4","17",14.31,11.01,3.86
"T","T4","17",15.14,11.05,2.23
"T","T4","17",13.61,10.77,1.41
"S3","S30","5",3.25,3.54,2.01
"S3","S30","5",4.53,4.17,0.51
"S3","S30","5",3.95,4.33,2.51
"S3","S30","5",3.98,4.16,1.97
"T","T4","17",13.21,9.22,1.55
"S3","S30","6",4.22,4.35,2.71
"S3","S30","6",4.48,3.54,1.02
"T","T4","21",9.82,10.57,4.54
"T","T4","3",17.16,11.98,2.72
"T","T4","17",12.42,11.15,3.22
"T","T4","17",13.43,9.4,1.86
"T","T4","17",10.79,10.42,3.84
"H","H5","1",4.75,5.15,2.58
"S3","S30","11",3.4,4.02,3.49
"S3","S30","11",3.37,4.1,1.02
"T","T3","1",15.3,11,2.86
"T","T3","1",13.73,9.45,4.14
"T","T3","1",13.41,9.17,0.72
"T","T3","3",15.85,11.59,0.66
"T","T3","3",11.68,9.47,2.14
"S2","S.M4","2",3.74,3.21,1.27
"S2","S.M4","1",4.2,3.02,0.77
"S2","S.M1","3",2.29,2.68,0
"S2","S.M3","3",3.46,2.76,1.49
"S2","S.M3","4",4.14,2.54,2.43
"S2","S.M3","4",3.71,2.76,2.17
"S2","S.M3","4",3.47,2.26,2.68
"S2","S.M2","2",4.01,3.13,0.1
"S2","S.M2","2",4.03,2.97,0.3
"S2","S.M4","1",4.15,3.47,0.5
"S2","S.M1","3",2.66,1.34,0.91
"S2","S.M1","X1",2.4,1.66,0.65
"S2","S.M1","X3",3.29,2.18,0
"S2","S.M4","1",5.44,3.71,0.1
"S2","S.M4","1",4.76,3.69,0.2
"S2","S.M4","2",4.7,3.43,0.8
"S2","S.M1","6",3.75,2.29,0
"S2","S.M1","X4",4.28,2.74,0
"S2","S.M4","1",4.4,2.83,0.61
"S2","S.M4","1",4.74,3.28,0
"S2","S.M4","1",4.68,3.26,0.88
"S2","S.D1","4",3.17,2.09,0
"S2","S.D2","6",4.57,2.12,0
"S2","S.D2","7",3.26,2.13,0.2
"S2","S.D2","6",4.54,1.84,0.39
"S2","S.M1","X5",3.33,2.52,0
"S2","S.M3","4",4.6,3.19,0
"S2","S.M3","4",4.47,3.03,0.48
"S2","S.M3","4",4.87,3.01,1.13
"S2","S.M3","4",4.84,2.9,0.3
"S2","S.M3","4",4.94,3.08,0
"S4","S.P.1","1",4.21,3.43,3.87
"S4","S.P.1","1",4.58,3.84,4.28
"S4","S.P.1","1",2.41,1.5,2.81
"S4","S.P.1","1",5.55,3.92,3.86
"S4","S.P.1","1",4.6,3.67,0.64
"Ari","Ari.1","1",5.66,3.46,4.09
"Ari","Ari.1","1",5.13,5.65,6.89
"Ari","Ari.1","1",6.14,3.61,4.5
"Ari","Ari.1","1",6.48,5.45,4.57
"Ari","Ari.1","2",6.87,4.29,6.25
"Ari","Ari.1","4",6.18,7.13,7.83
"Ari","Ari.1","3",5.27,2.62,6.53
"Ari","Ari.1","3",6.08,5.92,7.81
"Ari","Ari.1","3",5.69,4.23,6.61
"Ari","Ari.2","1",4.85,4.56,6.15
"Ari","Ari.2","3",4.7,5.32,5.53
"Ari","Ari.2","3",5.9,6.27,6.27
"Ari","Ari.2","3",6.59,5.17,8.49
"Ari","Ari.2","4",5.88,6.4,5.43
"Ari","Ari.2","5",5.89,6.32,6.39
"Ari","Ari.2","5",5.02,5.06,5.67
"Ari","Ari.2","11",6.31,5.13,6.21
"Ari","Ari.2","11",6.31,5.44,7.53
"Ari","Ari.2","7",5.93,5.5,7.12
"Ari","Ari.2","7",6.59,5.24,7.74
"Ari","Ari.2","10",5.74,5.39,7.52
"Bella","B.1","1",5.53,3.62,1.46
"Bella","B.1","1",7.14,5.44,2.8
"Bella","B.1","1",6.27,4.92,4.16
"Bella","B.1","2",6.21,3.17,2.18
"Bella","B.1","2",3.71,3.42,2.43
"S4","S.P.2","1",5.08,3.84,1.46
"Ari","Ari.3","1",5.31,4.79,7.01
"Ari","Ari.3","1",5.2,6.38,6.08
"Ari","Ari.3","2",7.8,5.21,9.69
"Ari","Ari.3","3",5.42,8.19,8.56
"Ari","Ari.3","4",6.04,5.72,7.61
"Ari","Ari.4","1",6,6.32,7.73
"Ari","Ari.4","2",5.14,4.75,7.6
"Ari","Ari.4","4",7.32,5.33,7.55
"Ari","Ari.4","5",5.33,4.97,5.98
"Ari","Ari.4","6",4.96,6.78,6.99
"Ari","Ari.4","7",4.75,6.66,6.31
"Ari","Ari.4","13",6.14,8.17,7.87
"Ari","Ari.4","13",3.6,8.49,6.12
"Ari","Ari.4","14",6.48,7.22,8.62
"Ari","Ari.4","15",6,6.85,8.44
"Ari","Ari.4","16",5.22,5.9,9.15
"Ari","Ari.4","17",5.99,8.17,7.4
"Ari","Ari.5","1",6.08,4.9,5.5
"Ari","Ari.5","2",6.77,2.79,6.22
"Ari","Ari.5","3",5.38,6.78,6.04
"Ari","Ari.5","12",5.03,5.71,7.97
"Ari","Ari.5","12",6.4,4.94,7.7
"Ari","Ari.5","12",6.96,6.33,7.8
"Ari","Ari.5","12",6.35,5.54,9.06
"Ari","Ari.5","13",5.21,4.83,6.47
"Ari","Ari.5","15",5.13,5.46,5.36
"Ari","Ari.6","1",6,7,8.7
"Ari","Ari.8","1",5.48,8.84,6.77
"Ari","Ari.8","2",4.23,7.72,5.45
"Ari","Ari.8","3",4.45,7.77,6.61
"Ari","Ari.8","4",5.67,6.47,4.79
"Ari","Ari.8","5",3.76,5.15,4.85
"Ari","Ari.8","6",6.8,7.51,4.49
"Ari","Ari.8","7",4.32,5.29,6.34
"Ari","Ari.8","8",3.7,7.54,7.63
"Alb","Alb.1","1",7.67,4.46,4.45
"Alb","Alb.1","1",9.52,3.92,4.42
"Alb","Alb.1","3",8.95,4.94,5.14
"Alb","Alb.1","1",10.08,3.38,7.61
"Alb","Alb.1","2",6.81,4.11,4.62
"Alb","Alb.1","2",7.56,3.33,4.6
"Alb","Alb.1","2",7.45,3.32,2.92
"Alb","Alb.1","1",7.58,4.32,2.67
"Alb","Alb.1","2",7.34,4.02,6.13
